"DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","ORIGIN","ORIGIN_STATE_ABR","ORIGIN_STATE_NM","DEST","DEST_STATE_ABR","DEST_STATE_NM","DEP_DELAY_NEW","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
15,1,2018-01-15,"MIA","FL","Florida","PIT","PA","Pennsylvania",0.00,1.00,0.00,"",141.00,1013.00,,,,,,
9,2,2018-01-09,"DFW","TX","Texas","BOS","MA","Massachusetts",0.00,1.00,0.00,"",187.00,1562.00,,,,,,
26,5,2018-01-26,"HNL","HI","Hawaii","DFW","TX","Texas",0.00,18.00,0.00,"",414.00,3784.00,0.00,0.00,18.00,0.00,0.00,
3,3,2018-01-03,"DFW","TX","Texas","IAH","TX","Texas",0.00,0.00,0.00,"",52.00,224.00,,,,,,
19,5,2018-01-19,"MDW","IL","Illinois","CMH","OH","Ohio",0.00,0.00,0.00,"",47.00,283.00,,,,,,
30,2,2018-01-30,"MCO","FL","Florida","ATL","GA","Georgia",0.00,0.00,0.00,"",61.00,404.00,,,,,,
28,7,2018-01-28,"BOS","MA","Massachusetts","LGA","NY","New York",0.00,0.00,0.00,"",44.00,184.00,,,,,,
16,2,2018-01-16,"PSC","WA","Washington","SFO","CA","California",0.00,0.00,0.00,"",100.00,620.00,,,,,,
4,4,2018-01-04,"LAX","CA","California","DEN","CO","Colorado",1.00,0.00,0.00,"",110.00,862.00,,,,,,
31,3,2018-01-31,"BWI","MD","Maryland","BOS","MA","Massachusetts",0.00,0.00,0.00,"",58.00,369.00,,,,,,
15,1,2018-01-15,"LGA","NY","New York","ORD","IL","Illinois",0.00,1.00,0.00,"",116.00,733.00,,,,,,
22,1,2018-01-22,"EUG","OR","Oregon","DEN","CO","Colorado",3.00,0.00,0.00,"",129.00,996.00,,,,,,
12,5,2018-01-12,"EWR","NJ","New Jersey","IAH","TX","Texas",2.00,0.00,0.00,"",198.00,1400.00,,,,,,
14,7,2018-01-14,"ATL","GA","Georgia","PHX","AZ","Arizona",0.00,0.00,0.00,"",221.00,1587.00,,,,,,
21,7,2018-01-21,"EWR","NJ","New Jersey","BOS","MA","Massachusetts",0.00,0.00,0.00,"",43.00,200.00,,,,,,
1,1,2018-01-01,"MDW","IL","Illinois","MCO","FL","Florida",3.00,0.00,0.00,"",127.00,990.00,,,,,,
1,1,2018-01-01,"MCO","FL","Florida","MHT","NH","New Hampshire",7.00,0.00,0.00,"",145.00,1142.00,,,,,,
16,2,2018-01-16,"SAN","CA","California","LAS","NV","Nevada",0.00,0.00,0.00,"",52.00,258.00,,,,,,
2,2,2018-01-02,"IAH","TX","Texas","OMA","NE","Nebraska",0.00,6.00,0.00,"",128.00,781.00,,,,,,
29,1,2018-01-29,"MCO","FL","Florida","LGA","NY","New York",17.00,0.00,0.00,"",113.00,950.00,,,,,,
28,7,2018-01-28,"DEN","CO","Colorado","ATL","GA","Georgia",0.00,0.00,0.00,"",134.00,1199.00,,,,,,
18,4,2018-01-18,"ATL","GA","Georgia","LEX","KY","Kentucky",0.00,0.00,0.00,"",51.00,304.00,,,,,,
13,6,2018-01-13,"SEA","WA","Washington","LAS","NV","Nevada",67.00,65.00,0.00,"",120.00,867.00,65.00,0.00,0.00,0.00,0.00,
21,7,2018-01-21,"CLT","NC","North Carolina","CHA","TN","Tennessee",1.00,12.00,0.00,"",43.00,241.00,,,,,,
11,4,2018-01-11,"GSP","SC","South Carolina","ORD","IL","Illinois",577.00,553.00,0.00,"",83.00,577.00,552.00,0.00,0.00,0.00,1.00,
7,7,2018-01-07,"RDU","NC","North Carolina","BNA","TN","Tennessee",0.00,0.00,0.00,"",76.00,442.00,,,,,,
1,1,2018-01-01,"SJU","PR","Puerto Rico","MIA","FL","Florida",26.00,22.00,0.00,"",146.00,1045.00,0.00,0.00,0.00,0.00,22.00,
4,4,2018-01-04,"BNA","TN","Tennessee","LGA","NY","New York",,,1.00,"B",,764.00,,,,,,
7,7,2018-01-07,"MDW","IL","Illinois","OMA","NE","Nebraska",28.00,16.00,0.00,"",65.00,423.00,16.00,0.00,0.00,0.00,0.00,
15,1,2018-01-15,"DTW","MI","Michigan","EWR","NJ","New Jersey",44.00,51.00,0.00,"",65.00,488.00,44.00,0.00,7.00,0.00,0.00,
19,5,2018-01-19,"MDW","IL","Illinois","ATL","GA","Georgia",0.00,0.00,0.00,"",85.00,591.00,,,,,,
20,6,2018-01-20,"DFW","TX","Texas","TPA","FL","Florida",0.00,0.00,0.00,"",120.00,929.00,,,,,,
1,1,2018-01-01,"BMI","IL","Illinois","ATL","GA","Georgia",47.00,34.00,0.00,"",75.00,533.00,0.00,0.00,0.00,0.00,34.00,
15,1,2018-01-15,"DAY","OH","Ohio","CLT","NC","North Carolina",0.00,31.00,0.00,"",63.00,370.00,0.00,0.00,31.00,0.00,0.00,
22,1,2018-01-22,"DEN","CO","Colorado","LAX","CA","California",0.00,0.00,0.00,"",120.00,862.00,,,,,,
12,5,2018-01-12,"BNA","TN","Tennessee","ECP","FL","Florida",1.00,14.00,0.00,"",70.00,401.00,,,,,,
14,7,2018-01-14,"BDL","CT","Connecticut","FLL","FL","Florida",0.00,13.00,0.00,"",184.00,1173.00,,,,,,
1,1,2018-01-01,"MSP","MN","Minnesota","SLC","UT","Utah",4.00,0.00,0.00,"",140.00,991.00,,,,,,
6,6,2018-01-06,"BOS","MA","Massachusetts","MCO","FL","Florida",37.00,44.00,0.00,"",175.00,1121.00,37.00,0.00,7.00,0.00,0.00,
21,7,2018-01-21,"LGA","NY","New York","ATL","GA","Georgia",0.00,0.00,0.00,"",110.00,762.00,,,,,,
8,1,2018-01-08,"MSY","LA","Louisiana","JFK","NY","New York",4.00,7.00,0.00,"",150.00,1182.00,,,,,,
12,5,2018-01-12,"DEN","CO","Colorado","CMH","OH","Ohio",22.00,,1.00,"B",,1154.00,,,,,,
29,1,2018-01-29,"BDL","CT","Connecticut","DFW","TX","Texas",0.00,0.00,0.00,"",212.00,1471.00,,,,,,
3,3,2018-01-03,"LGA","NY","New York","CLT","NC","North Carolina",111.00,124.00,0.00,"",100.00,544.00,3.00,0.00,13.00,0.00,108.00,
1,1,2018-01-01,"LEX","KY","Kentucky","CLT","NC","North Carolina",8.00,0.00,0.00,"",49.00,281.00,,,,,,
27,6,2018-01-27,"HOU","TX","Texas","MCO","FL","Florida",0.00,0.00,0.00,"",115.00,849.00,,,,,,
3,3,2018-01-03,"CLT","NC","North Carolina","MSY","LA","Louisiana",4.00,3.00,0.00,"",104.00,651.00,,,,,,
8,1,2018-01-08,"MSP","MN","Minnesota","MIA","FL","Florida",15.00,4.00,0.00,"",186.00,1501.00,,,,,,
31,3,2018-01-31,"DFW","TX","Texas","ATL","GA","Georgia",0.00,0.00,0.00,"",93.00,731.00,,,,,,
29,1,2018-01-29,"DFW","TX","Texas","LAS","NV","Nevada",0.00,0.00,0.00,"",140.00,1055.00,,,,,,
21,7,2018-01-21,"LIT","AR","Arkansas","LAS","NV","Nevada",0.00,0.00,0.00,"",181.00,1294.00,,,,,,
30,2,2018-01-30,"STL","MO","Missouri","DTW","MI","Michigan",0.00,0.00,0.00,"",70.00,440.00,,,,,,
1,1,2018-01-01,"MIA","FL","Florida","ORD","IL","Illinois",1.00,2.00,0.00,"",168.00,1197.00,,,,,,
15,1,2018-01-15,"DEN","CO","Colorado","GJT","CO","Colorado",374.00,371.00,0.00,"",39.00,212.00,297.00,0.00,0.00,0.00,74.00,
18,4,2018-01-18,"TPA","FL","Florida","MSP","MN","Minnesota",5.00,0.00,0.00,"",180.00,1306.00,,,,,,
13,6,2018-01-13,"RSW","FL","Florida","JFK","NY","New York",2.00,0.00,0.00,"",123.00,1074.00,,,,,,
